X,Y,pasik
9454586.71738586,7654719.47043839,0
9454586.71738586,7654711.47043839,0
9454586.71738586,7654703.47043839,0
9454586.71738586,7654695.47043839,0
9454586.71738586,7654687.47043839,0
9454586.71738586,7654679.47043839,0
9454586.71738586,7654671.47043839,0
9454586.71738586,7654663.47043839,0
9454586.71738586,7654655.47043839,0
9454586.71738586,7654647.47043839,0
9454586.71738586,7654639.47043839,0
9454586.71738586,7654631.47043839,0
9454586.71738586,7654623.47043839,0
9454586.71738586,7654615.47043839,0
9454586.71738586,7654607.47043839,0
9454586.71738586,7654599.47043839,0
9454586.71738586,7654591.47043839,0
9454586.71738586,7654583.47043839,0
9454586.71738586,7654575.47043839,0
9454586.71738586,7654567.47043839,0
9454586.71738586,7654559.47043839,0
9454586.71738586,7654551.47043839,0
9454586.71738586,7654543.47043839,0
9454586.71738586,7654535.47043839,0
9454586.71738586,7654527.47043839,0
9454586.71738586,7654519.47043839,0
9454586.71738586,7654511.47043839,0
9454586.71738586,7654503.47043839,0
9454586.71738586,7654495.47043839,0
9454586.71738586,7654487.47043839,0
9454586.71738586,7654479.47043839,0
9454586.71738586,7654471.47043839,0
9454586.71738586,7654463.47043839,0
9454586.71738586,7654455.47043839,0
9454586.71738586,7654447.47043839,0
9454586.71738586,7654439.47043839,0
9454586.71738586,7654431.47043839,0
9454586.71738586,7654423.47043839,0
9454586.71738586,7654415.47043839,0
9454586.71738586,7654407.47043839,0
9454586.71738586,7654399.47043839,0
9454586.71738586,7654391.47043839,0
9454586.71738586,7654383.47043839,0
9454586.71738586,7654375.47043839,0
9454586.71738586,7654367.47043839,0
9454586.71738586,7654359.47043839,0
9454586.71738586,7654351.47043839,0
9454586.71738586,7654343.47043839,0
9454586.71738586,7654335.47043839,0
9454586.71738586,7654327.47043839,0
9454586.71738586,7654319.47043839,0
9454586.71738586,7654311.47043839,0
9454586.71738586,7654303.47043839,0
9454586.71738586,7654295.47043839,0
9454586.71738586,7654287.47043839,0
9454586.71738586,7654279.47043839,0
9454586.71738586,7654271.47043839,0
9454586.71738586,7654263.47043839,0
9454586.71738586,7654255.47043839,0
9454586.71738586,7654247.47043839,0
9454586.71738586,7654239.47043839,0
